idna_subject,checker_type,destination,source,tested_at,session_id
localhost,AVAILABILITY,origin.list,/home/runner/work/cameleon_web_sysctl.org/cameleon_web_sysctl.org/origin.list,2001-01-16 16:56:06.494690,6ce636a4f6cb8b5ae2cd639e
0.start.bz,AVAILABILITY,origin.list,/home/runner/work/cameleon_web_sysctl.org/cameleon_web_sysctl.org/origin.list,2001-01-16 16:56:06.495815,6ce636a4f6cb8b5ae2cd639e
093qpeuqpmz6ebfa.com,AVAILABILITY,origin.list,/home/runner/work/cameleon_web_sysctl.org/cameleon_web_sysctl.org/origin.list,2001-01-16 16:56:06.952601,6ce636a4f6cb8b5ae2cd639e
0c9d8370d.se,AVAILABILITY,origin.list,/home/runner/work/cameleon_web_sysctl.org/cameleon_web_sysctl.org/origin.list,2001-01-16 16:56:06.960276,6ce636a4f6cb8b5ae2cd639e
1.hao929.cn,AVAILABILITY,origin.list,/home/runner/work/cameleon_web_sysctl.org/cameleon_web_sysctl.org/origin.list,2001-01-16 16:56:07.022603,6ce636a4f6cb8b5ae2cd639e
1.sharkadnetwork.com,AVAILABILITY,origin.list,/home/runner/work/cameleon_web_sysctl.org/cameleon_web_sysctl.org/origin.list,2001-01-16 16:56:07.031078,6ce636a4f6cb8b5ae2cd639e
10bestsearch.com,AVAILABILITY,origin.list,/home/runner/work/cameleon_web_sysctl.org/cameleon_web_sysctl.org/origin.list,2001-01-16 16:56:07.210013,6ce636a4f6cb8b5ae2cd639e
11954.filter.bullhornsearch.com,AVAILABILITY,origin.list,/home/runner/work/cameleon_web_sysctl.org/cameleon_web_sysctl.org/origin.list,2001-01-16 16:56:07.265611,6ce636a4f6cb8b5ae2cd639e
123appz.com,AVAILABILITY,origin.list,/home/runner/work/cameleon_web_sysctl.org/cameleon_web_sysctl.org/origin.list,2001-01-16 16:56:07.319745,6ce636a4f6cb8b5ae2cd639e
131922.131.links4trade.com,AVAILABILITY,origin.list,/home/runner/work/cameleon_web_sysctl.org/cameleon_web_sysctl.org/origin.list,2001-01-16 16:56:07.438868,6ce636a4f6cb8b5ae2cd639e
partners.mysavings.com,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:11.396331,6ce636a4f6cb8b5ae2cd639e
partners.popmatters.com,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:11.620789,6ce636a4f6cb8b5ae2cd639e
partners.realgirlsmedia.com,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:11.844848,6ce636a4f6cb8b5ae2cd639e
partners.tremorhub.com,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:12.067521,6ce636a4f6cb8b5ae2cd639e
partners.visiads.com,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:12.289390,6ce636a4f6cb8b5ae2cd639e
partners.webmasterplan.com,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:12.513072,6ce636a4f6cb8b5ae2cd639e
partners.xhamster.com,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:12.737260,6ce636a4f6cb8b5ae2cd639e
partygaming.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:12.960069,6ce636a4f6cb8b5ae2cd639e
partygamingglobal.122.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:13.183049,6ce636a4f6cb8b5ae2cd639e
paste-d.openx.net,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:13.405173,6ce636a4f6cb8b5ae2cd639e
patrickhillery.112.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:13.629204,6ce636a4f6cb8b5ae2cd639e
paulsnetwork.com,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:13.852545,6ce636a4f6cb8b5ae2cd639e
pay.tranent.nl,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:14.076845,6ce636a4f6cb8b5ae2cd639e
paycounter.com,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:14.300896,6ce636a4f6cb8b5ae2cd639e
paypal.112.2o7.net,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:14.524362,6ce636a4f6cb8b5ae2cd639e
paypalssl.doubleclick.net,AVAILABILITY,origin.list,origin.list,2001-07-03 20:15:14.748364,6ce636a4f6cb8b5ae2cd639e
